epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1240.04,0.8737,0.45708,0.89431,0.78407,0.70337,0.80152,0.44733,1.54398,1.00051,1.20961,0.0003566,0.0003566,0.0003566
85,1255,0.88345,0.46159,0.8951,0.79346,0.71758,0.81883,0.46563,1.53828,1.0193,1.2201,0.0003368,0.0003368,0.0003368
86,1269.7,0.88008,0.45987,0.89097,0.81342,0.69805,0.81798,0.46408,1.54761,0.97355,1.2244,0.000317,0.000317,0.000317
87,1284.83,0.87448,0.45757,0.89229,0.77817,0.74148,0.82373,0.46858,1.52779,0.9983,1.20867,0.0002972,0.0002972,0.0002972
88,1299.66,0.87645,0.45683,0.89688,0.76737,0.74998,0.82438,0.47827,1.49224,0.99772,1.19552,0.0002774,0.0002774,0.0002774
89,1314.63,0.87265,0.45195,0.88819,0.79605,0.71403,0.82074,0.4662,1.52995,0.97511,1.21007,0.0002576,0.0002576,0.0002576
90,1331.97,0.86898,0.44927,0.89198,0.76979,0.72291,0.817,0.46881,1.52159,0.97318,1.20599,0.0002378,0.0002378,0.0002378
91,1410.61,0.82334,0.43752,0.89338,0.80386,0.72291,0.82841,0.47811,1.51726,0.98408,1.21157,0.000218,0.000218,0.000218
92,1424.79,0.81312,0.42887,0.89203,0.76838,0.73712,0.82309,0.46364,1.54016,0.97132,1.21396,0.0001982,0.0001982,0.0001982
93,1439.24,0.81039,0.42042,0.88683,0.83378,0.75133,0.85005,0.49315,1.48996,0.92802,1.19264,0.0001784,0.0001784,0.0001784
94,1455.33,0.79134,0.41783,0.88324,0.78998,0.72155,0.82709,0.4877,1.4813,0.98307,1.19208,0.0001586,0.0001586,0.0001586
95,1469.66,0.80168,0.41686,0.88719,0.83218,0.73107,0.84228,0.4831,1.52136,0.95574,1.20219,0.0001388,0.0001388,0.0001388
96,1484.3,0.79899,0.41723,0.88447,0.78747,0.73002,0.83192,0.47998,1.52375,0.98507,1.19984,0.000119,0.000119,0.000119
97,1498.39,0.78894,0.41167,0.8849,0.79564,0.75376,0.84254,0.49493,1.5024,0.97349,1.19709,9.92e-05,9.92e-05,9.92e-05
98,1513.7,0.79211,0.41425,0.88513,0.85087,0.7016,0.84102,0.49304,1.49459,0.96832,1.19165,7.94e-05,7.94e-05,7.94e-05
99,1529.17,0.77829,0.40992,0.88179,0.8396,0.70515,0.83921,0.49013,1.4934,0.96794,1.19071,5.96e-05,5.96e-05,5.96e-05
100,1544.09,0.78033,0.40855,0.88251,0.8122,0.70672,0.83428,0.48612,1.50135,0.9738,1.19361,3.98e-05,3.98e-05,3.98e-05
